session_date,rth_start,rth_end,ib_high,ib_low,ib_range,midpoint,ib_volume,total_volume,relative_ib_volume,rth_high,rth_low,rth_close,rotation,failed_auction,breakside,breakside_rotation_up,breakside_rotation_down,breakside_retracement_points,breakside_retracement_normib,opening_window_minutes,opening_range_high,opening_range_low,opening_range,opening_range_close,opening_direction,opening_type,opening_bar_open,opening_bar_close,opening_bar_open_close,opening_bar_volume,prev_pdh,prev_pdl,prev_vah,prev_val,prev_poc,prev_session_volume,opening_range_midpoint,opening_touch_pdh,opening_touch_pdl,opening_touch_vah,opening_touch_val,opening_touch_poc,rth_touch_pdh,rth_touch_pdl,rth_touch_vah,rth_touch_val,rth_touch_poc,rth_breach_above_pdh,rth_breach_above_pdl,rth_breach_above_vah,rth_breach_above_val,rth_breach_above_poc,rth_breach_below_pdh,rth_breach_below_pdl,rth_breach_below_vah,rth_breach_below_val,rth_breach_below_poc,rth_close_vs_pdh,rth_close_vs_pdl,rth_close_vs_vah,rth_close_vs_val,rth_close_vs_poc,opening_close_vs_pdh,opening_close_vs_pdl,opening_close_vs_vah,opening_close_vs_val,opening_close_vs_poc,discovery_up,discovery_down,balance_day,extension_up_normib,extension_down_normib,nearest_prior_level_to_open,nearest_prior_level_to_open_distance
2025-01-15,06:30,13:00,21408.5,21186.5,222.0,21297.5,356630.0,1098114.0,0.32476591683559264,21452.75,21186.5,21398.75,False,failed_high,high,21388.0,,20.5,0.09234234234234234,10,21285.0,21186.5,98.5,21251.75,down,auction,21252.25,21237.0,-15.25,10768.0,21129.25,20773.25,21118.25,20883.25,21060.5,1393590.0,21235.75,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,above,above,above,above,above,above,above,above,above,above,True,False,False,0.19932432432432431,0.0,pdh,106.5
2025-01-16,06:30,13:00,21498.0,21336.0,162.0,21417.0,377998.0,1179326.0,0.32052036502205494,21498.0,21229.5,21238.25,False,none,low,,,91.0,0.5617283950617284,10,21498.0,21405.75,92.25,21446.5,down,auction,21495.0,21464.5,-30.5,8145.0,21452.75,21186.5,21377.0,21214.0,21302.25,1121999.0,21451.875,True,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,below,above,below,above,below,within,above,above,above,above,False,True,False,0.0,0.6574074074074074,pdh,0.875
2025-01-17,06:30,13:00,21653.5,21481.0,172.5,21567.25,421324.0,1072792.0,0.3927359637282903,21672.5,21481.0,21587.0,False,failed_high,high,21580.0,,73.5,0.4260869565217391,10,21653.5,21512.5,141.0,21524.5,down,auction,21651.0,21599.25,-51.75,16553.0,21498.0,21171.75,21475.0,21355.75,21390.0,1221618.0,21583.0,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,False,False,False,False,above,above,above,above,above,above,above,above,above,above,True,False,False,0.11014492753623188,0.0,pdh,85.0
2025-01-20,06:30,13:00,21780.0,21676.75,103.25,21728.375,122552.0,284048.0,0.4314482059370247,21780.0,21623.0,21680.5,False,failed_low,low,,21730.75,54.0,0.5230024213075061,10,21755.0,21713.25,41.75,21741.0,up,auction,21723.5,21724.5,1.0,2503.0,21672.5,21481.0,21611.5,21491.25,21535.75,1097137.0,21734.125,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,within,above,above,above,above,above,above,above,above,above,False,True,False,0.0,0.5205811138014528,pdh,61.625
2025-01-21,06:30,13:00,21718.5,21525.5,193.0,21622.0,388090.0,991376.0,0.3914660028082181,21772.0,21525.5,21752.75,False,none,high,,,21.25,0.11010362694300518,10,21718.5,21629.75,88.75,21635.75,down,auction,21710.0,21707.0,-3.0,8908.0,21780.0,21623.0,21772.0,21689.25,21730.25,284048.0,21674.125,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,below,above,below,above,above,below,above,below,below,below,True,False,False,0.2772020725388601,0.0,val,15.125
2025-01-22,06:30,13:00,22037.0,21902.5,134.5,21969.75,318763.0,892738.0,0.3570622063808195,22094.0,21902.5,22000.0,False,failed_high,high,21981.75,,55.25,0.4107806691449814,10,21982.0,21902.5,79.5,21957.5,up,auction,21915.0,21913.75,-1.25,7735.0,21785.0,21525.5,21706.75,21539.5,21623.5,1017439.0,21942.25,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,above,above,above,above,above,above,above,above,above,above,True,False,False,0.42379182156133827,0.0,pdh,157.25
2025-01-23,06:30,13:00,21918.25,21866.0,52.25,21892.125,237568.0,872798.0,0.2721912744987958,22048.5,21866.0,22043.25,False,none,high,,,23.5,0.44976076555023925,10,21910.75,21866.0,44.75,21909.25,up,auction,21889.0,21868.0,-21.0,8176.0,22094.0,21902.5,22062.5,21990.5,22011.25,918793.0,21888.375,False,True,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,below,above,below,above,above,below,within,below,below,below,True,False,False,2.492822966507177,0.0,pdl,14.125
2025-01-24,06:30,13:00,22078.0,21987.5,90.5,22032.75,295095.0,957032.0,0.3083439216243553,22078.0,21843.25,21908.75,False,none,low,,,48.25,0.5331491712707183,10,22052.75,22000.0,52.75,22022.75,down,auction,22044.25,22037.25,-7.0,7776.0,22051.25,21866.0,21952.25,21875.0,21891.75,898637.0,22026.375,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,below,above,below,above,above,below,above,above,above,above,False,True,False,0.0,1.5939226519337018,pdh,24.875
2025-01-27,06:30,13:00,21379.75,21108.25,271.5,21244.0,455667.0,1503487.0,0.3030734552410496,21418.0,21096.75,21258.0,True,failed_both,high,21096.75,21267.25,283.0,1.0423572744014733,10,21291.5,21108.25,183.25,21283.5,up,auction,21123.75,21171.75,48.0,17939.0,22078.0,21843.25,22065.0,21912.75,22006.5,975091.0,21199.875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,below,below,below,below,below,below,below,below,below,below,True,True,False,0.1408839779005525,0.0423572744014733,pdl,643.375
2025-01-28,06:30,13:00,21481.25,21160.75,320.5,21321.0,424788.0,1295019.0,0.32801680901979047,21626.0,21160.75,21572.5,False,none,high,,,10.75,0.033541341653666144,10,21319.75,21204.25,115.5,21218.75,down,auction,21302.0,21306.5,4.5,9898.0,21418.0,21096.75,21289.5,21149.5,21225.0,1541647.0,21262.0,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,above,above,above,above,above,below,above,below,above,within,True,False,False,0.4516380655226209,0.0,vah,27.5
