session_date,rth_start,rth_end,ib_high,ib_low,ib_range,midpoint,ib_volume,total_volume,relative_ib_volume,rth_high,rth_low,rth_close,extension_up,extension_down,extension_1_5_up,extension_2_up,extension_1_5_down,extension_2_down,reached_1_5_up,reached_2_up,reached_1_5_down,reached_2_down,rotation,failed_auction,opening_window_minutes,opening_range_high,opening_range_low,opening_range,opening_range_close,opening_direction,opening_type,opening_bar_open,opening_bar_close,opening_bar_open_close,opening_bar_volume
2025-10-01,06:30,13:00,24920.75,24874.75,46.0,24897.75,165079.0,631329.0,0.2614785634748285,25037.0,24874.75,25009.0,116.25,0.0,24989.75,25012.75,24805.75,24782.75,True,True,False,False,False,none,10,24912.0,24874.75,37.25,24895.75,up,auction,24884.0,24888.75,4.75,3170.0
2025-10-02,06:30,13:00,25090.75,24993.75,97.0,25042.25,223411.0,666458.0,0.3352214243058077,25126.75,24993.75,25105.5,36.0,0.0,25236.25,25284.75,24848.25,24799.75,False,False,False,False,False,none,10,25090.75,25058.5,32.25,25088.0,up,auction,25076.25,25088.75,12.5,4391.0
2025-10-03,06:30,13:00,25143.0,25078.5,64.5,25110.75,161848.0,858810.0,0.1884561195142115,25156.0,24923.0,24981.5,13.0,155.5,25239.75,25272.0,24981.75,24949.5,False,False,True,True,True,failed_high,10,25116.5,25078.5,38.0,25108.5,up,auction,25090.0,25089.5,-0.5,2243.0
2025-10-06,06:30,13:00,25176.75,25110.25,66.5,25143.5,143973.0,538543.0,0.2673379841535402,25253.0,25110.25,25184.0,76.25,0.0,25276.5,25309.75,25010.5,24977.25,False,False,False,False,False,none,10,25152.0,25122.0,30.0,25143.25,flat,auction,25143.25,25142.0,-1.25,3469.0
2025-10-07,06:30,13:00,25231.25,25053.75,177.5,25142.5,323354.0,969311.0,0.3335915923785039,25231.25,24985.25,25055.0,0.0,68.5,25497.5,25586.25,24787.5,24698.75,False,False,False,False,False,failed_low,10,25231.25,25186.25,45.0,25198.5,down,auction,25213.5,25212.25,-1.25,3412.0
2025-10-08,06:30,13:00,25246.5,25172.75,73.75,25209.625,166670.0,600641.0,0.2774868848446909,25364.75,25172.75,25354.5,118.25,0.0,25357.125,25394.0,25062.125,25025.25,True,False,False,False,False,none,10,25226.0,25198.25,27.75,25212.75,down,auction,25216.75,25212.75,-4.0,5142.0
2025-10-09,06:30,13:00,25274.25,25193.5,80.75,25233.875,216725.0,822937.0,0.26335551810162866,25300.0,25160.75,25287.5,25.75,32.75,25395.375,25435.75,25072.375,25032.0,False,False,False,False,True,failed_low,10,25253.0,25209.0,44.0,25213.25,down,auction,25252.25,25243.75,-8.5,6781.0
2025-10-10,06:30,13:00,25359.75,24747.75,612.0,25053.75,478841.0,1841745.0,0.25999310436569667,25359.75,24157.75,24188.25,0.0,590.0,26277.75,26583.75,23829.75,23523.75,False,False,False,False,False,none,10,25348.25,25319.0,29.25,25333.5,down,auction,25335.5,25341.5,6.0,3570.0
2025-10-13,06:30,13:00,24888.5,24743.5,145.0,24816.0,268341.0,831801.0,0.32260240129550216,24965.0,24743.5,24905.0,76.5,0.0,25106.0,25178.5,24526.0,24453.5,False,False,False,False,False,none,10,24888.5,24795.0,93.5,24881.75,up,auction,24825.0,24814.75,-10.25,7234.0
2025-10-14,06:30,13:00,24768.75,24670.5,98.25,24719.625,244041.0,1073902.0,0.22724699274235452,24947.25,24670.5,24755.75,178.5,0.0,24916.125,24965.25,24523.125,24474.0,True,False,False,False,False,failed_high,10,24737.0,24680.5,56.5,24729.25,up,auction,24721.0,24700.25,-20.75,7371.0
